trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1689,False,"{'a': 0.7, 'e': 0.02433241277446361}",20,1,26.884425203981003,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1690,False,"{'a': 0.7, 'e': 0.024325212770525996}",20,9,18.691159012849113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1691,False,"{'a': 0.7, 'e': 0.024318019154289876}",35,28,13.614653990004925,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1692,False,"{'a': 0.7, 'e': 0.024310831916315757}",20,12,16.457794935794784,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1693,False,"{'a': 0.7, 'e': 0.02430365104718368}",30,8,37.59050337402775,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1694,False,"{'a': 0.7, 'e': 0.024296476537493127}",20,12,17.99013547281932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1695,False,"{'a': 0.7, 'e': 0.024289308377863014}",20,15,10.093695881099865,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1696,False,"{'a': 0.7, 'e': 0.024282146558931603}",20,7,23.484146542072125,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1697,False,"{'a': 0.7, 'e': 0.02427499107135649}",25,14,19.71827771790004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1698,False,"{'a': 0.7, 'e': 0.024267841905814505}",35,19,33.087588405009974,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1699,False,"{'a': 0.7, 'e': 0.024260699053001704}",25,3,34.34420509165466,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1700,False,"{'a': 0.7, 'e': 0.024253562503633298}",25,9,25.583635814084374,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1701,False,"{'a': 0.7, 'e': 0.024246432248443597}",20,11,16.599897527415678,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1702,False,"{'a': 0.7, 'e': 0.024239308278185982}",30,22,14.091041929872013,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1703,False,"{'a': 0.7, 'e': 0.02423219058363282}",25,8,33.82195703738484,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1704,False,"{'a': 0.7, 'e': 0.02422507915557546}",20,16,9.58312779300868,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1705,False,"{'a': 0.7, 'e': 0.02421797398482414}",25,15,18.472506450665232,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1706,False,"{'a': 0.7, 'e': 0.024210875062207954}",20,0,29.14342710129472,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1707,False,"{'a': 0.7, 'e': 0.024203782378574807}",20,8,21.851952172334393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
